"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20220101 ~ 20221231"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강남구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","등기신청일자","거래유형","중개사소재지"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202206","30","95,000","4","1992","개포로109길 9",""," ","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","49.86","202207","4","150,000","8","1992","개포로109길 9",""," ","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","39.53","202207","9","130,500","6","1992","개포로109길 9",""," ","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","49.86","202208","10","133,000","1","1992","개포로109길 9",""," ","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","49.86","202208","31","136,000","14","1992","개포로109길 9",""," ","중개거래","서울 강남구, 서울 서초구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202209","24","92,000","12","1992","개포로109길 9",""," ","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202210","18","88,000","8","1992","개포로109길 9",""," ","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","39.53","202211","15","102,500","3","1992","개포로109길 9",""," ","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202211","16","84,700","13","1992","개포로109길 9",""," ","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","49.86","202212","23","104,000","4","1992","개포로109길 9",""," ","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","49.86","202212","23","104,000","4","1992","개포로109길 9","20230112"," ","중개거래","서울 강남구"
"서울특별시 강남구 개포동","179","0179","0000","우성8","79.61","202204","27","240,000","6","1987","개포로 411",""," ","중개거래","서울 강남구"
"서울특별시 강남구 개포동","653","0653","0000","현대1차101동~106동","95.4","202201","5","275,000","2","1984","개포로 303",""," ","중개거래","서울 강남구"
"서울특별시 강남구 개포동","654","0654","0000","현대2","84.81","202201","15","272,000","8","1986","언주로 107",""," ","중개거래","서울 강남구"
"서울특별시 강남구 개포동","654","0654","0000","현대2","84.81","202203","30","265,000","7","1986","언주로 107",""," ","중개거래","서울 강남구"
"서울특별시 강남구 개포동","654","0654","0000","현대2","131.83","202204","21","291,500","3","1986","언주로 107",""," ","중개거래","인천 서구"
"서울특별시 강남구 논현동","195-1","0195","0001","e-편한세상","129.8748","202204","5","192,000","10","2005","봉은사로11길 12",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","196","0196","0000","거평프리젠","32.835","202201","15","40,000","6","1996","강남대로112길 41",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","196","0196","0000","거평프리젠","39.035","202205","27","54,000","7","1996","강남대로112길 41",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","196","0196","0000","거평프리젠","30.215","202205","30","40,000","11","1996","강남대로112길 41",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","274","0274","0000","경남논현","83.72","202206","21","131,000","5","1996","언주로116길 12",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","268-12","0268","0012","그랑디오스","132.96","202201","8","159,140","5","2004","봉은사로51길 18","20220111"," ","직거래","-"
"서울특별시 강남구 논현동","268-12","0268","0012","그랑디오스","132.96","202201","8","159,140","5","2004","봉은사로51길 18",""," ","직거래","-"
"서울특별시 강남구 논현동","205-2","0205","0002","논현동한화꿈에그린","67.671","202205","26","85,600","2","2005","논현로111길 39",""," ","직거래","-"
"서울특별시 강남구 논현동","225-6","0225","0006","논현아이파크","47.46","202202","23","100,000","7","2020","언주로 615","20220320"," ","중개거래","서울 동대문구"
"서울특별시 강남구 논현동","225-6","0225","0006","논현아이파크","84.89","202209","2","195,000","19","2020","언주로 615",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","118-8","0118","0008","더원센트럴","26.96","202205","18","49,500","5","2018","학동로53길 3-8",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","275","0275","0000","동부센트레빌","84.9875","202204","26","198,000","19","2003","언주로116길 6",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","275","0275","0000","동부센트레빌","84.9875","202206","11","192,000","8","2003","언주로116길 6",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","245","0245","0000","동양파라곤","157.41","202201","18","320,000","7","2004","언주로130길 30",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","245","0245","0000","동양파라곤","160.33","202203","21","333,000","14","2004","언주로130길 30",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","245","0245","0000","동양파라곤","180.07","202204","21","245,000","5","2004","언주로130길 30",""," ","직거래","-"
"서울특별시 강남구 논현동","245","0245","0000","동양파라곤","180.07","202204","22","224,000","11","2004","언주로130길 30",""," ","직거래","-"
"서울특별시 강남구 논현동","245","0245","0000","동양파라곤","157.41","202205","24","303,000","4","2004","언주로130길 30",""," ","직거래","-"
"서울특별시 강남구 논현동","245","0245","0000","동양파라곤","144.74","202210","11","310,000","9","2004","언주로130길 30",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","105","0105","0000","동현아파트1~6","84.92","202202","18","227,500","10","1985","언주로146길 18",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","105","0105","0000","동현아파트1~6","120.58","202203","31","273,000","8","1985","언주로146길 18",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","105","0105","0000","동현아파트1~6","119.67","202204","23","290,000","11","1985","언주로146길 18",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","252-1","0252","0001","두산위브1단지","110.778","202207","18","219,000","9","2004","학동로46길 38",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","258","0258","0000","두산위브2단지","106.829","202204","16","206,000","9","2004","언주로122길 25",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","114-23","0114","0023","로체샤르캐슬","106.59","202205","23","139,000","4","2009","언주로136길 16","20221110"," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","114-23","0114","0023","로체샤르캐슬","106.59","202211","10","139,000","4","2009","언주로136길 16",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","58-2","0058","0002","마일스디오빌","36.29","202201","26","37,000","4","2004","학동로 165",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","58-2","0058","0002","마일스디오빌","36.29","202201","27","42,000","14","2004","학동로 165",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","58-2","0058","0002","마일스디오빌","36.29","202202","19","39,000","9","2004","학동로 165",""," ","중개거래","서울 중구"
"서울특별시 강남구 논현동","58-2","0058","0002","마일스디오빌","36.29","202203","30","40,900","14","2004","학동로 165",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","58-2","0058","0002","마일스디오빌","36.29","202206","2","40,500","8","2004","학동로 165",""," ","중개거래","서울 강남구, 서울 서초구"
"서울특별시 강남구 논현동","58-2","0058","0002","마일스디오빌","36.29","202206","7","40,300","6","2004","학동로 165",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","58-2","0058","0002","마일스디오빌","36.29","202206","17","41,500","13","2004","학동로 165",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","58-2","0058","0002","마일스디오빌","36.29","202206","28","40,500","13","2004","학동로 165",""," ","중개거래","서울 강남구, 서울 서초구"
"서울특별시 강남구 논현동","58-2","0058","0002","마일스디오빌","36.29","202207","7","39,500","12","2004","학동로 165",""," ","중개거래","서울 중구"
"서울특별시 강남구 논현동","58-2","0058","0002","마일스디오빌","36.29","202208","6","38,500","11","2004","학동로 165",""," ","중개거래","서울 강남구, 서울 서초구"
"서울특별시 강남구 논현동","58-2","0058","0002","마일스디오빌","36.29","202208","8","38,000","14","2004","학동로 165",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","58-2","0058","0002","마일스디오빌","36.29","202208","12","38,500","15","2004","학동로 165",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","58-2","0058","0002","마일스디오빌","36.29","202208","12","38,500","15","2004","학동로 165","20220818"," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","58-2","0058","0002","마일스디오빌","36.29","202208","27","38,500","3","2004","학동로 165",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","58-2","0058","0002","마일스디오빌","36.29","202208","27","37,800","3","2004","학동로 165",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","58-2","0058","0002","마일스디오빌","36.29","202209","3","39,000","4","2004","학동로 165",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","47-11","0047","0011","벨러스빌","86.51","202202","14","65,000","5","2004","학동로5길 17",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","22","0022","0000","신동아(22)","114.34","202202","4","229,000","10","1997","강남대로146길 28",""," ","중개거래","서울 강남구, 서울 송파구"
"서울특별시 강남구 논현동","22","0022","0000","신동아(22)","84.52","202203","19","180,000","6","1997","강남대로146길 28",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","22","0022","0000","신동아(22)","35.73","202204","4","95,000","3","1997","강남대로146길 28",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","22","0022","0000","신동아(22)","35.73","202204","23","98,000","11","1997","강남대로146길 28",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","22","0022","0000","신동아(22)","35.73","202205","26","95,000","3","1997","강남대로146길 28",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","22","0022","0000","신동아(22)","35.73","202206","17","99,500","5","1997","강남대로146길 28",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","22","0022","0000","신동아(22)","35.73","202209","24","89,000","1","1997","강남대로146길 28",""," ","중개거래","서울 서초구"
"서울특별시 강남구 논현동","103","0103","0000","쌍용","84.87","202211","12","105,000","3","1996","도산대로50길 43","20230228"," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","276-1","0276","0001","아크로힐스논현","84.208","202202","24","210,000","4","2014","언주로 604",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","276-1","0276","0001","아크로힐스논현","113.087","202205","23","320,000","20","2014","언주로 604",""," ","중개거래","서울 강남구, 서울 용산구"
"서울특별시 강남구 논현동","276-1","0276","0001","아크로힐스논현","84.208","202207","15","246,000","24","2014","언주로 604",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","276-1","0276","0001","아크로힐스논현","113.231","202210","28","240,000","14","2014","언주로 604",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","46-3","0046","0003","요진보네르","129.24","202207","6","106,000","1","2003","학동로5길 20",""," ","직거래","-"
"서울특별시 강남구 논현동","107-44","0107","0044","우민","74.758","202205","19","135,000","4","2002","언주로136길 21",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","107-44","0107","0044","우민","74.758","202205","19","123,000","2","2002","언주로136길 21",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","194-22","0194","0022","이산","46.06","202203","2","31,000","3","2011","논현로111길 34",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","108-2","0108","0002","제이빌","52.54","202204","11","71,000","1","2004","학동로43길 30",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","211-21","0211","0021","펜트힐루논현","43.392","202204","15","110,000","7","2021","언주로 641",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","211-21","0211","0021","펜트힐루논현","42.257","202204","15","105,000","8","2021","언주로 641",""," ","직거래","-"
"서울특별시 강남구 논현동","211-21","0211","0021","펜트힐루논현","43.392","202207","8","110,000","4","2021","언주로 641",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","211-21","0211","0021","펜트힐루논현","43.392","202207","8","102,000","6","2021","언주로 641",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","221-7","0221","0007","한양수자인어반게이트","16.2","202205","27","21,200","3","2013","봉은사로29길 35",""," ","직거래","-"
"서울특별시 강남구 논현동","221-7","0221","0007","한양수자인어반게이트","16.2","202206","17","20,500","7","2013","봉은사로29길 35",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","221-7","0221","0007","한양수자인어반게이트","16.2","202206","28","22,000","7","2013","봉은사로29길 35",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","221-7","0221","0007","한양수자인어반게이트","20.7","202207","4","22,300","5","2013","봉은사로29길 35",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","221-7","0221","0007","한양수자인어반게이트","16.2","202207","14","21,500","6","2013","봉은사로29길 35",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","221-7","0221","0007","한양수자인어반게이트","16.2","202208","4","20,500","6","2013","봉은사로29길 35",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","221-7","0221","0007","한양수자인어반게이트","20.23","202211","2","28,000","7","2013","봉은사로29길 35",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","105-4","0105","0004","한진로즈힐","103.96","202204","22","198,000","8","2004","도산대로46길 21",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","105-4","0105","0004","한진로즈힐","84.94","202205","24","172,500","2","2004","도산대로46길 21",""," ","중개거래","서울 강남구"
"서울특별시 강남구 논현동","194-23","0194","0023","한화꿈에그린2차","83.7","202206","24","137,000","6","2006","봉은사로21길 19","20221229"," ","중개거래","서울 강남구"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","158.54","202203","19","510,000","12","1983","선릉로 120",""," ","중개거래","서울 강남구, 서울 송파구"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","127.61","202203","24","375,000","1","1983","선릉로 120",""," ","중개거래","서울 강남구"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","127.61","202203","30","409,000","11","1983","선릉로 120",""," ","중개거래","서울 강남구"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","84.81","202205","20","323,000","14","1983","선릉로 120","20220703"," ","중개거래","서울 강남구"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","84.81","202207","10","310,000","14","1983","선릉로 120",""," ","중개거래","서울 강남구"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","84.81","202208","30","290,000","8","1983","선릉로 120",""," ","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-26","0891","0026","대우아이빌멤버스(891-26)","51.026","202201","12","54,500","10","2003","삼성로85길 42","20220121"," ","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-26","0891","0026","대우아이빌멤버스(891-26)","51.026","202202","15","54,500","10","2003","삼성로85길 42",""," ","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-26","0891","0026","대우아이빌멤버스(891-26)","35.236","202202","18","34,000","7","2003","삼성로85길 42",""," ","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-26","0891","0026","대우아이빌멤버스(891-26)","46.877","202203","29","50,000","11","2003","삼성로85길 42",""," ","중개거래","서울 강남구, 서울 중구"
"서울특별시 강남구 대치동","891-26","0891","0026","대우아이빌멤버스(891-26)","35.796","202205","13","33,500","7","2003","삼성로85길 42",""," ","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-26","0891","0026","대우아이빌멤버스(891-26)","35.796","202207","4","34,000","8","2003","삼성로85길 42",""," ","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-23","0891","0023","대우아이빌명문가(891-23)","35.72","202201","13","29,000","7","2004","선릉로90길 56",""," ","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-23","0891","0023","대우아이빌명문가(891-23)","35.72","202202","8","29,000","8","2004","선릉로90길 56",""," ","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-23","0891","0023","대우아이빌명문가(891-23)","34.2","202202","11","30,750","8","2004","선릉로90길 56",""," ","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-23","0891","0023","대우아이빌명문가(891-23)","35.72","202204","21","33,300","10","2004","선릉로90길 56",""," ","직거래","-"
"서울특별시 강남구 대치동","891-23","0891","0023","대우아이빌명문가(891-23)","33.06","202205","4","34,000","11","2004","선릉로90길 56",""," ","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-23","0891","0023","대우아이빌명문가(891-23)","34.2","202205","23","30,000","10","2004","선릉로90길 56",""," ","직거래","-"
"서울특별시 강남구 대치동","891-28","0891","0028","대치동우정에쉐르1","59.96","202204","8","92,000","9","2004","삼성로85길 38",""," ","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-28","0891","0028","대치동우정에쉐르1","59.75","202205","20","80,000","5","2004","삼성로85길 38",""," ","직거래","-"
"서울특별시 강남구 대치동","1014-3","1014","0003","대치삼성","97.35","202211","5","254,000","11","2000","도곡로78길 22",""," ","중개거래","서울 강남구"
"서울특별시 강남구 대치동","888","0888","0000","대치아이파크","119.58","202203","29","400,000","20","2008","선릉로 222",""," ","중개거래","서울 강남구"
"서울특별시 강남구 대치동","888","0888","0000","대치아이파크","114.97","202207","7","380,000","6","2008","선릉로 222",""," ","중개거래","서울 강남구"
"서울특별시 강남구 대치동","888","0888","0000","대치아이파크","59.96","202208","18","210,000","11","2008","선릉로 222",""," ","중개거래","서울 강남구"
"서울특별시 강남구 대치동","63","0063","0000","대치우성아파트1동,2동,3동,5동,6동,7동","115.59","202210","20","270,000","12","1984","영동대로 230",""," ","중개거래","서울 강남구, 인천 서구"
"서울특별시 강남구 대치동","63","0063","0000","대치우성아파트1동,2동,3동,5동,6동,7동","115.59","202211","22","260,000","4","1984","영동대로 230",""," ","중개거래","서울 강남구"
"서울특별시 강남구 대치동","974","0974","0000","대치현대","85","202206","10","246,000","9","1999","삼성로64길 5",""," ","중개거래","서울 강남구"
"서울특별시 강남구 대치동","670","0670","0000","동부센트레빌","145.83","202201","7","425,000","21","2005","선릉로 206",""," ","중개거래","서울 강남구"
"서울특별시 강남구 대치동","670","0670","0000","동부센트레빌","161.47","202202","14","505,000","5","2005","선릉로 206",""," ","중개거래","서울 강남구"
